54304503	DSNY	Graffiti	The City has removed the graffiti from this property.	2022-05-28T14:30:51.000	2033-03-01T00:00:00.000
67996481	DOT	Traffic Signal Condition	Service Request status for this request is available on the Department of Transportation's website. Please click the "Learn More" link below.	2026-02-14T09:42:00.000	2026-12-14T11:50:00.000
70422775	DSNY	Derelict Vehicles	The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.	2026-09-15T08:04:00.000	2026-09-16T03:18:00.000
70425817	DSNY	Derelict Vehicles	DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.	2026-09-15T14:42:00.000	2026-09-16T03:06:00.000
70422771	DSNY	Derelict Vehicles	The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.	2026-09-14T07:09:00.000	2026-09-16T02:57:00.000
70423948	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T01:09:27.000	2026-09-16T01:49:44.000
70424614	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-16T00:23:23.000	2026-09-16T01:49:39.000
70429825	NYPD	Encampment	The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T18:19:29.000	2026-09-16T01:49:38.000
70430656	NYPD	Noise - Residential	The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:00:08.000	2026-09-16T01:49:38.000
70431399	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T17:37:33.000	2026-09-16T01:49:38.000
70429071	NYPD	Illegal Parking	The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.	2026-09-15T23:37:01.000	2026-09-16T01:49:38.000
